Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
62,STIRSO,439.200000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
63,CARAMUL,439.250000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
64,CANDEEI,439.250000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
65,BALTAR,439.275000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
66,MAMEDE,439.275000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
67,SINTRA,439.275000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
68,COTAO,439.325000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
69,VIALON,439.325000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
70,MONTEJ,439.350000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
71,MONTEM,439.350000,-,7.600000,Tone,114.8,88.5,023,NN,NFM,5.00,,,,,,
72,OLHAO,439.375000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
73,AZEMEI,439.400000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
74,ARRABI,439.400000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
75,PORTO,439.425000,-,7.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
76,CRAINHA,439.425000,-,7.600000,Tone,74.4,88.5,023,NN,NFM,5.00,,,,,,
77,FOIA,439.425000,-,7.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
78,FUNCHAL,438.650000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
79,CLOBOS,438.700000,-,7.600000,Tone,67.0,88.5,023,NN,NFM,5.00,,,,,,
80,SMARIA,438.650000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
81,TERCEI,438.725000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
82,SMIGUE,438.750000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
83,SMIGUE,438.775000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
84,SMIGUE,438.825000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
85,SMIGUE,438.900000,-,7.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
86,FRS1-CA,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
